"PSS EXPENDITURE IN 2005-06 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","PSS EX1 Return for 2005-06 Draft 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision by others",NA,NA,"Total (including joint arrangements)",NA,NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding","including","charges","excluding","including","charges","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital","capital","(council's","capital","capital","(council's","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges","charges","own assets)","charges","charges","own assets)","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","col G","col H = F - G","Col I = C + F","Col J = D + G","Col K = E + H","col L","col M","col N","col O = (L to N)","col P = K - O","col Q = I - O","col R = K - M - N"
"A:","SERVICE STRATEGY","Medway Towns UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","756","0","756","0","0","0","756","0","756","0","0","0","0","756","756","756"
NA,"of which (where known): Children's and families services","182","0","182","0","0","0","182","0","182","0","0","0","0","182","182","182"
NA,"Adults' services","325","0","325","0","0","0","325","0","325","0","0","0","0","325","325","325"
NA,"Generic services","249","0","249","0","0","0","249","0","249","0","0","0","0","249","249","249"
"A2","Complaints procedures","44","0","44","0","0","0","44","0","44","0","0","0","0","44","44","44"
NA,"of which (where known): Children's and families services","10","0","10","0","0","0","10","0","10","0","0","0","0","10","10","10"
NA,"Adults' services","20","0","20","0","0","0","20","0","20","0","0","0","0","20","20","20"
NA,"Generic services","14","0","14","0","0","0","14","0","14","0","0","0","0","14","14","14"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","800","0","800","0","0","0","800","0","800","0","0","0","0","800","800","800"
NA,"of which (where known): Children's and families services","192","0","192","0","0","0","192","0","192","0","0","0","0","192","192","192"
NA,"Adults' services","345","0","345","0","0","0","345","0","345","0","0","0","0","345","345","345"
NA,"Generic services","263","0","263","0","0","0","263","0","263","0","0","0","0","263","263","263"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
