"PSS EXPENDITURE IN 2001-02 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2001-02","...15","...16","...17","...18"
"Complete cells N134, N136 and N138 and check that cell N140 matches total social services expenditure recorded in the authority's accounts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS",NA,NA,NA
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT",NA,NA,NA
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE",NA,NA,NA
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,"Assessment","Residential","Day and"
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,"and care","provision","domiciliary"
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,"management",NA,"provision"
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K",NA,NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","62529.24743029938","782.99697704495065","61746.250453254426","820.63745372249468","63349.884884021885","62566.887906976932","506.57631363707782","950.45010840009672","17389.167222440487","18846.193644477658","43720.694262499266","44503.691239544212","44227.27057613634",NA,NA,NA
"A2","Registration and inspection","62926.230569707426","514.95061637225353","62411.279953335179","1375.9085282842973","64302.139097991727","63787.188481619472","13982.831","492","4410.1677500000005","18884.998749999999","44902.189731619481","45417.140347991728","58885.020731619472",NA,NA,NA
"A3","Complaints procedures","9651.1510914102982","16.943999999999999","9634.2070914102987","77.36929268292684","9728.5203840932245","9711.576384093225","66.238","38","92.658000000000001","196.89600000000002","9514.6803840932262","9531.6243840932257","9580.9183840932255",NA,NA,NA
