FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,CareType_KEY,AgeBand_KEY,PrimarySupportReason_KEY,SupportSetting_KEY,Purpose_KEY,CarerSupportType_KEY,DataType_KEY,TOTALEXPENDITURE,TOTALINCOME,NETTOTALEXPENDITURE,GROSSTOTALEXPENDITURE,NETCURRENTEXPENDITURE,GROSSCURRENTEXPENDITURE
2017,102,E10000006,E12000002,2,1,4,3,,,1,12930.31183,3371.68252,9558.62931,9596.61449,9558.62931,9596.61449
2017,102,E10000006,E12000002,2,1,4,4,,,1,14040.78672,473.50516,13567.28156,13567.28156,13567.28156,13567.28156
2017,102,E10000006,E12000002,2,1,4,9,,,1,357.21144,0,357.21144,357.21144,357.21144,357.21144
2017,102,E10000006,E12000002,2,1,6,3,,,1,497.01616,353.1364,143.87976,146.25176,143.87976,146.25176
2017,102,E10000006,E12000002,2,1,6,6,,,1,781.622762,205.34681,576.275952,781.622762,576.275952,781.622762
2017,102,E10000006,E12000002,2,1,6,7,,,1,2221.584097,266.69129,1954.892807,2221.584097,1954.892807,2221.584097
2017,102,E10000006,E12000002,2,1,7,3,,,1,230.14531,0,230.14531,230.14531,230.14531,230.14531
2017,102,E10000006,E12000002,2,1,7,6,,,1,0,-5.19144,5.19144,0,5.19144,0
2017,102,E10000006,E12000002,2,1,13,3,,,1,9.91901,0,9.91901,9.91901,9.91901,9.91901
2017,102,E10000006,E12000002,2,2,4,2,,,1,110.63511,8.02364,102.61147,102.61147,102.61147,102.61147
2017,102,E10000006,E12000002,2,2,4,5,,,1,0,151.42454,-151.42454,0,-151.42454,0
2017,102,E10000006,E12000002,2,2,4,6,,,1,99.09971162,21.59357,77.50614162,99.09971162,77.50614162,99.09971162
2017,102,E10000006,E12000002,2,2,4,7,,,1,1242.295621,264.16538,978.1302415,1242.295621,918.5896936,1182.755074
2017,102,E10000006,E12000002,2,2,5,2,,,1,297.26514,39.39921,257.86593,257.86593,257.86593,257.86593
2017,102,E10000006,E12000002,2,2,5,3,,,1,47.76828,27.5363,20.23198,20.23198,20.23198,20.23198
2017,102,E10000006,E12000002,2,2,5,4,,,1,5.1736,0,5.1736,5.1736,5.1736,5.1736
