UUID,Council Code,Council Name,Data Type,Data Source,Age Band,Finance Type,Comparative totals,Value
8326110,102,Cumbria,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,1271
8328110,102,Cumbria,Voluntay,Additional Data,-,Income,Income from Better Care Fund,36013
8510101,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,28293.25547
8510102,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,12514.65822
8510201,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,70100.16257
8510202,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,29614.36252
8510301,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,22971.73995
8510302,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,10794.80813
8510401,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,3373.44273
8510402,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,281.42107
8510502,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,5256.18716
8510601,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,4305.81199
8510602,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,810.18577
8510701,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,2139.638208
8510702,102,Cumbria,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,0
8511101,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,15234.82987
8511102,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,6738.662119
8511201,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,14900.39203
8511202,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1519.73155
8511301,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,8160.176543
8511302,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,2034.547879
8511401,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,12245.89245
8511402,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,680.39873
8511502,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1903.82071
8511601,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,10063.94003
8511602,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1030.48042
8511701,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,13984.11749
8511702,102,Cumbria,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,0
8512101,102,Cumbria,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,6338.41024
8512102,102,Cumbria,Mandatory,Bridging Year,-,Income,Other Expenditure,3527.43681
8513203,102,Cumbria,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,102,Cumbria,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,1271
8326110,104,Northumberland,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,3216
8328110,104,Northumberland,Voluntay,Additional Data,-,Income,Income from Better Care Fund,6973
8510101,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,10685
8510102,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,2917
8510201,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,34390
8510202,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,16963
8510301,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,16076
8510302,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1947
8510401,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,2377
8510402,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,85
8510502,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,3825
8510601,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1924
8510602,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,26
8510701,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,4121
8510702,104,Northumberland,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,1037
8511101,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,6047
8511102,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1641
8511201,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,15073
8511202,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,2971
8511301,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,12110
8511302,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1701
8511401,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,6464
8511402,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,815
8511502,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1145
8511601,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,4095
8511602,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,73
8511701,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,3113
8511702,104,Northumberland,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,303
8512101,104,Northumberland,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,1068
8512102,104,Northumberland,Mandatory,Bridging Year,-,Income,Other Expenditure,0
8513203,104,Northumberland,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,104,Northumberland,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,3216
8326110,106,Gateshead,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,632
8328110,106,Gateshead,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
