UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8610101,102,Cumbria,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,253.14,
8610102,102,Cumbria,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,3266,
8610201,102,Cumbria,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,102,Cumbria,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,134,
8610301,102,Cumbria,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,53.14285714,
8610302,102,Cumbria,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,248,
8610401,102,Cumbria,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,1138.571429,
8610402,102,Cumbria,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,4604,
8610501,102,Cumbria,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,72.42857143,
8610502,102,Cumbria,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,2585,
8610601,102,Cumbria,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,24214,
8610602,102,Cumbria,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,36173,
8610701,102,Cumbria,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,377.7142857,
8610702,102,Cumbria,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,299,
8610801,102,Cumbria,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,7086,
8610802,102,Cumbria,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,9862,
8610901,102,Cumbria,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,331.7142857,
8610902,102,Cumbria,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,1370,
8611001,102,Cumbria,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,2859.285714,
8611002,102,Cumbria,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,6027,
8611102,102,Cumbria,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,1703.714286,
8611202,102,Cumbria,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,36.57142857,
8611302,102,Cumbria,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,152.5714286,
8611402,102,Cumbria,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,988.2857143,
8611502,102,Cumbria,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,343.1428571,
8611602,102,Cumbria,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,18014.71429,
8611702,102,Cumbria,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,0,
8611802,102,Cumbria,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,4986.285714,
8611902,102,Cumbria,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,260.7142857,
8612002,102,Cumbria,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,3894.428571,
8622101,102,Cumbria,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,1052.04,
8622102,102,Cumbria,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,102,Cumbria,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,19.14,
8622202,102,Cumbria,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,102,Cumbria,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,30.29,
8622302,102,Cumbria,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,102,Cumbria,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,166.71,
8622402,102,Cumbria,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,102,Cumbria,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,64.43,
8622502,102,Cumbria,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,102,Cumbria,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,9725.06,
8622602,102,Cumbria,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,102,Cumbria,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,156.24,
8622702,102,Cumbria,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,102,Cumbria,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,977.23,
8622802,102,Cumbria,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622901,102,Cumbria,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,21.57,
8622902,102,Cumbria,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,102,Cumbria,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,582.43,
8623002,102,Cumbria,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,102,Cumbria,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,102,Cumbria,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,102,Cumbria,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,102,Cumbria,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,102,Cumbria,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,102,Cumbria,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,102,Cumbria,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,102,Cumbria,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,102,Cumbria,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,102,Cumbria,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,102,Cumbria,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,102,Cumbria,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,102,Cumbria,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,102,Cumbria,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,102,Cumbria,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,102,Cumbria,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,102,Cumbria,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,102,Cumbria,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,102,Cumbria,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,102,Cumbria,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,102,Cumbria,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,102,Cumbria,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,102,Cumbria,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,102,Cumbria,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,102,Cumbria,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,102,Cumbria,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,102,Cumbria,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,102,Cumbria,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,102,Cumbria,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,102,Cumbria,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,102,Cumbria,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,102,Cumbria,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,102,Cumbria,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,102,Cumbria,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,102,Cumbria,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,102,Cumbria,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,102,Cumbria,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,102,Cumbria,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,102,Cumbria,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,102,Cumbria,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,102,Cumbria,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,102,Cumbria,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,102,Cumbria,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,102,Cumbria,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,102,Cumbria,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,102,Cumbria,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,102,Cumbria,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,102,Cumbria,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,102,Cumbria,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,102,Cumbria,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,102,Cumbria,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,102,Cumbria,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,102,Cumbria,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,102,Cumbria,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,102,Cumbria,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,102,Cumbria,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,102,Cumbria,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,102,Cumbria,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,102,Cumbria,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,102,Cumbria,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,102,Cumbria,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,102,Cumbria,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,102,Cumbria,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,102,Cumbria,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,102,Cumbria,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,102,Cumbria,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,102,Cumbria,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,102,Cumbria,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,102,Cumbria,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,102,Cumbria,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,102,Cumbria,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,102,Cumbria,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,102,Cumbria,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,102,Cumbria,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,102,Cumbria,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,104,Northumberland,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,104,Northumberland,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,1338,
8610201,104,Northumberland,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,104,Northumberland,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,4,
8610301,104,Northumberland,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,104,Northumberland,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,373,
8610401,104,Northumberland,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,459,
8610402,104,Northumberland,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,8005,
8610501,104,Northumberland,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,104,Northumberland,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,1802,
8610601,104,Northumberland,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,104,Northumberland,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,14740,
8610701,104,Northumberland,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,104,Northumberland,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,343,
8610801,104,Northumberland,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,104,Northumberland,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,27276,
8610901,104,Northumberland,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,546,
8610902,104,Northumberland,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,3332,
8611001,104,Northumberland,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,104,Northumberland,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,6292,
8611102,104,Northumberland,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,830,
8611202,104,Northumberland,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,104,Northumberland,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,163,
8611402,104,Northumberland,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,157,
8611502,104,Northumberland,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,446,
