,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Bridging year service,Bridging Year,Bridging year group,Accounting category,102 - Cumbria,104 - Northumberland,106 - Gateshead,107 - Newcastle upon Tyne,108 - North Tyneside,109 - South Tyneside,110 - Sunderland,111 - Hartlepool,112 - Middlesbrough,113 - Redcar and Cleveland,114 - Stockton on Tees,116 - Durham,117 - Darlington,204 - Barnsley,205 - Doncaster,206 - Rotherham,207 - Sheffield,209 - Bradford,210 - Calderdale,211 - Kirklees,212 - Leeds,213 - Wakefield,214 - East Riding of Yorkshire,215 - Kingston upon Hull,216 - North East Lincolnshire,217 - North Lincolnshire,218 - North Yorkshire,219 - York,304 - Bolton,305 - Bury,306 - Manchester,307 - Oldham,308 - Rochdale,309 - Salford,310 - Stockport,311 - Tameside,312 - Trafford,313 - Wigan,315 - Knowsley,316 - Liverpool,317 - Sefton,318 - St Helens,319 - Wirral,321 - Halton,322 - Warrington,323 - Lancashire,324 - Blackburn with Darwen,325 - Blackpool,326 - Cheshire East,327 - Cheshire West and Chester,404 - Warwickshire,406 - Birmingham,407 - Coventry,408 - Dudley,409 - Sandwell,410 - Solihull,411 - Walsall,412 - Wolverhampton,413 - Staffordshire,414 - Stoke on Trent,415 - Herefordshire,416 - Worcestershire,417 - Shropshire,418 - Telford and the Wrekin,503 - Lincolnshire,504 - Northamptonshire,506 - Derbyshire,507 - Derby,508 - Leicestershire,509 - Leicester,510 - Rutland,511 - Nottinghamshire,512 - Nottingham,606 - Hertfordshire,607 - Norfolk,608 - Oxfordshire,609 - Suffolk,611 - Luton,612 - Buckinghamshire,613 - Milton Keynes,614 - Bracknell Forest,615 - West Berkshire,616 - Reading,617 - Slough,618 - Windsor and Maidenhead,619 - Wokingham,620 - Essex,621 - Southend on Sea,622 - Thurrock,623 - Cambridgeshire,624 - Peterborough,625 - Bedford Borough,626 - Central Bedfordshire,702 - Camden,703 - Greenwich,704 - Hackney,705 - Hammersmith and Fulham,706 - Islington,707 - Kensington and Chelsea,708 - Lambeth,709 - Lewisham,710 - Southwark,711 - Tower Hamlets,712 - Wandsworth,713 - Westminster,714 - City of London,716 - Barking and Dagenham,717 - Barnet,718 - Bexley,719 - Brent,720 - Bromley,721 - Croydon,722 - Ealing,723 - Enfield,724 - Haringey,725 - Harrow,726 - Havering,727 - Hillingdon,728 - Hounslow,729 - Kingston upon Thames,730 - Merton,731 - Newham,732 - Redbridge,733 - Richmond upon Thames,734 - Sutton,735 - Waltham Forest,803 - Isle of Wight Council,805 - Surrey,807 - West Sussex,809 - Dorset,810 - Bournemouth,811 - Poole,812 - Hampshire,813 - Portsmouth,814 - Southampton,815 - East Sussex,816 - Brighton and Hove,817 - Wiltshire,819 - Swindon,820 - Kent,821 - Medway,902 - Cornwall,904 - Gloucestershire,905 - Somerset,906 - Isles of Scilly,908 - Bath and North East Somerset,909 - Bristol,910 - North Somerset,911 - South Gloucestershire,912 - Devon,913 - Plymouth,914 - Torbay,North West,North East,Yorkshire and Humber,West Midlands,East Midlands,East,South East,London,South West,ENGLAND
Total expenditure on assessment and care management,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,17833.63,10789,3493,4993.08,4730.4,3037,8572,4256,3634,2892,2989,12642.58,3142,4390,8463.55,4638,8592,7662,3531,12603,11698,6637,11445,5179.72,1615,4310,10764.15,5706,6695,3634,6193,4876,4710,4357.5,8006.27,5000,10441,7792,3793,6797.39,4644,3284,3746.89,2947.41,5689,19434.65,8038.31,4013,12036,5492.5,18922.3,31231.88,5851,5012.18,4404,3086.08,7527,5809,17602,3826,6443,13790,5837,2596,11305,13994,11188,3657,7183,8610,888,19314.14,6486,17539,14788.99,14462,13649.8,6334,8573.2,8556,4840,3201.77,2821,3450,3249,681.74,15537,3163.62,1658,14419,5749.76,1747,4693,14761.57,6972.39,2845,6910.72,6348,7702,4200.61,6777.55,11015,7043.49,9847,11551,540,4928,7460.58,5281,3724,3780,6193.53,4177,7257,3054.79,5043.06,4900,4948.26,3792.57,5082,4429,9500.48,3098,6072,3378,6481,5101.94,32464.99,19458,9638,3926,3864.98,22173,4524,4183,14181,7796,0,3504,23668,5771.15,14288,16766,11082,11,7822.76,8870,4355.24,5680,16508,4463,6813.8,159454.55,65170.06,107234.42,131937.45,82625.14,99279.18,189155.78,199094.6,117592.78,1151543.96
Total expenditure on assessment and care management,2014 - 2015,Adults aged 65 and over,Income: total,597.97,2315,351,1372.65,38,1373,884,1027,888,1605,229,1940,382,628,1824.28,1009,1636,1150,862.31,1669,1180,895,2001,619.21,15.5,1463,1612.47,1027,2401,195,792,1544,956,906.5,2932.14,30,650,2077,568.47,1254.5,392,1009,3460.89,468.51,489,5614.98,994.88,1311,866,1157.5,1946.32,408.45,399,1018.4,2,151.48,233,1100,1967,1127,2629,3066.78,1176,455,1860,3037,300,154,1488,598,0,631.55,1780,4830,3072.55,770,621.25,0,473.6,1465,1612,173.94,534,625,134,78.1,5338,984.48,31,0,79.05,120,911,1773.34,2118.17,116,1244,469,652,943.98,2235.76,2218,1010.01,2115,3083,229,2707,810.59,1921,496,1039,1463.09,770,899,120.64,198,109,139.12,301.65,140,1549,2502.22,117,105,0,259,747.76,1324.71,518,408,86,570.64,944,2357,250,141,1382,0,0,3335,243.65,1788,863,1949,0,171.87,4913,927.55,915,1751,1878,983.5,30668.34,12404.65,17591.77,15679.43,9848.55,15987.34,17108.76,33853.57,17204.56,170346.96
Total expenditure on assessment and care management,2014 - 2015,Adults aged 65 and over,Net total expenditure,17235.65,8474,3142,3620.43,4692.4,1664,7688,3229,2746,1287,2760,10702.58,2760,3762,6639.27,3629,6956,6512,2668.69,10934,10518,5742,9444,4560.5,1599.5,2847,9151.68,4679,4294,3439,5401,3332,3754,3451,5074.13,4970,9791,5715,3224.53,5542.89,4252,2275,286,2478.9,5200,13819.67,7043.43,2702,11170,4335,16975.98,30823.44,5452,3993.78,4402,2934.6,7294,4709,15635,2699,3814,10723.22,4661,2141,9445,10957,10888,3503,5695,8012,888,18682.59,4706,12709,11716.44,13692,13028.55,6334,8099.6,7091,3228,3027.83,2287,2825,3115,603.63,10199,2179.14,1627,14419,5670.71,1627,3782,12988.24,4854.22,2729,5666.72,5879,7050,3256.63,4541.8,8797,6033.48,7732,8468,311,2221,6649.99,3360,3228,2741,4730.44,3407,6358,2934.15,4845.06,4791,4809.14,3490.92,4942,2880,6998.26,2981,5967,3378,6222,4354.18,31140.28,18940,9230,3840,3294.34,21229,2167,3933,14040,6414,0,3504,20333,5527.5,12500,15903,9133,11,7650.89,3957,3427.68,4765,14757,2585,5830.3,128786.22,52765.41,89642.65,116258.02,72776.59,83291.83,172047.02,165241.04,100388.21,981196.99
Total expenditure on assessment and care management,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,19265.28,9710,4601,5651.61,3781,2845,6860,4336,2576,2430,2674,10362.29,3376,4430,10013,5434,9273,7759.96,3684.61,11110,14082,6029.55,7391,2557.07,3236,3546.85,10252,4455,6887,3908,6291,4370,3750,3485,7979,4597,4749.85,6399,1813,7462,5218.12,3498,4351,2948.81,5636,18913.55,3283,4096,14482.57,4619.81,12470.59,28947,6466.56,5880.32,8456,4770.43,9048,5552,17396,5578,4596,11791,4680.2,2418,11703,6349,6470,3617.5,6104,8591.41,1578,14319.03,6274,20172,17561.64,15670,12538,4250,10167,5102.42,2272,2702,2740.37,3682,3630,2740.7,18726,2662.57,2743.7,10633,5844,2825,6426.32,9606,5799.9,3212,4632,6138.7,6317.27,6602.31,7744.69,7096,8804.13,7329,7868,416,5301.98,4786,5039,4016,6817,7505,7630.95,6172.62,2763.14,4678,6409,6095.36,4037,5387,6140,8828.52,3440,5968,5381,7137,5943.72,35867.42,26757,9113,5191,3143.94,23625,5562.02,6742,12128,6719,8487.54,3594,24476,4743.72,10926,16028,8596.49,125,6265,9099,4121.7,5704,16109,8032.74,6635.12,148002.98,59202.9,103254.03,128050.09,65005.95,104382.24,201270.35,195098.58,121171.53,1125438.64
Total expenditure on assessment and care management,2013 - 2014,Adults aged 65 and over,Income: total,4363.78,1647,335,1111.91,38,1157,789,1273,272,765,145,726,640,170,1684,1258,1120,800.17,500.14,1778,994,1113.01,1467,0,156,44.67,515,1043,1710,167,620,232,495,2385,2724,21,74.69,1573,678,802,189.9,1334,1912,1676.3,816,1323.35,470,777,548.54,891.08,837.7,128,467.87,127.21,407,338.4,107,277,4224,1271,714,964,1252.14,940,583,903,108,76,660,1134.47,0,1157.95,1128,433,2302.52,2149,4541,480,44,1084,123,0,529,875,151,20.37,2473,840.59,343.69,65,1792,735,860.8,635,970.58,82,624,131.22,650.43,4885.47,4364.69,148,357.33,1156,371,0,212.65,263,2153,0,222,1564,190.51,5.11,134.44,338,5,0.07,5,380,573,1761.11,60,535,0,540,1452.1,2160.36,1028,322,0,205.5,118,1155.6,1008,763.38,1356,124.07,0,2818,461.62,676,1358,962.87,0,840,342,320.82,265,2402,4509.81,895,25783.63,8898.91,12642.98,12055.31,5750.42,14866.6,17296.43,23317.61,13223.07,133834.95
Total expenditure on assessment and care management,2013 - 2014,Adults aged 65 and over,Net total expenditure,14901.5,8063,4266,4539.7,3743,1688,6071,3063,2304,1665,2529,9636.29,2736,4260,8329,4176,8153,6959.79,3184.47,9332,13088,4916.54,5924,2557.07,3080,3502.18,9737,3412,5177,3741,5671,4138,3255,1100,5255,4576,4675.16,4826,1135,6660,5028.23,2164,2439,1272.51,4820,17590.2,2813,3319,13934.03,3728.72,11632.89,28819,5998.7,5753.11,8049,4432.03,8941,5275,13172,4307,3882,10827,3428.07,1478,11120,5446,6362,3541.5,5444,7456.94,1578,13161.08,5146,19739,15259.12,13521,7997,3770,10123,4018.42,2149,2702,2211.37,2807,3479,2720.33,16253,1821.99,2400.02,10568,4052,2090,5565.52,8971,4829.32,3130,4008,6007.49,5666.85,1716.84,3380,6948,8446.8,6173,7497,416,5089.33,4523,2886,4016,6595,5941,7440.45,6167.51,2628.7,4340,6404,6095.29,4032,5007,5567,7067.41,3380,5433,5381,6597,4491.62,33707.06,25729,8791,5191,2938.44,23507,4406.42,5734,11364.62,5363,8363.46,3594,21658,4282.1,10250,14670,7633.62,125,5425,8757,3800.88,5439,13707,3522.94,5740.12,122219.35,50303.99,90611.05,115994.78,59255.52,89515.64,183973.93,171780.97,107948.46,991603.69
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,67938.41,36059,23870,25543.7,17451.72,23820,38047,15002,20283,18197,23919,73338,13282,18143,34999,29734,43640,49068,18099,40135,67535,27246,49541,37729.43,13874,16042.41,59709,18760,22765,15178,32996,18055,16946,21049,27582.95,21157,17854,25942,15584,43845.5,32164,18926,35483,9838.26,22262,114151.78,18424,16524,36935,27385.27,44216,103415.26,19782.17,24113.81,23597,14401.09,18622,30849,69624,38486,20314,47359,34239,15016,73948,51999,80592,21351,51266,28612.8,2912,89664.77,28094,91489,95802.14,67030,82122.71,10574,43414,22223,10051,14466.61,13120,13951,10214,14919.03,138603,18145.35,7623,41972,8689.19,14360,23376,20029.32,21525.46,10150,11199,19843,14480,19403.42,19675.22,15647,10782,21618,26482,550,12219,24932.85,19042,18523,19175,26684.84,26785,27956,22462.41,12426,17835,14125.97,12857,11636,16193.6,12720.37,20752,14506,11214,14034,19016.01,99351.98,77932,53730,20363,13431.32,140940,17835,22558,63077,31060,55803,17747,134843,20522.55,42181,59817,68729,439,28902,44592,28340.15,24876,106123,20738,14962,678986.18,328812.42,524254.85,504034.33,428439.57,532756.39,836524.18,567464.45,600773.48,5002045.84
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 65 and over,Income: total,36920.15,17281,8137,5550.1,9671.85,11779,14312,7480,10304,5845,9723,25348,6615,11342,17017,12824,19521,22128,7887.01,19033,25411,11654,28074,14339.08,5265,5526.24,22126,7696,10289,8200,11868,6666,6575,11882,11229,10958,6837.11,11625,6475,17480.2,6991,9846,13104.07,5802.89,10986,46417.17,2762,6898,12419,11355.42,18252,46751.15,10879,11746.1,10252,6363.96,6986,12447,26585,12482,5328,15694,16132.53,5063,28907,17023,37587,9072,24177,8773,1333,32962.61,9300,30490,48073.76,23580,30454.66,3061,15633,8609,3808,4695.08,3127,7504,3664,4585.81,57357,8289.69,4856,14000,3427.35,4870,9209,5216.85,11403.27,4173,4764,7894,3542,8114.34,5722.96,4578,3564.21,8203,10630,126,5018,7722.63,6653,9626,6982,8797.3,13813.08,5470,7573.31,5339,7330,5298.09,2639.82,4017,8685,7444.67,9981,5368,3871,3963,6680.51,32894.35,29854,17853,5890,5272.79,50943,5961,7704,18821,14983,12598,6197,45921,9566,16996,22918,33532,194,13369,14522,12739.59,6319,41276,6970,6633.19,283586.01,132045.95,229843.33,204961.74,169134.61,214088.47,298533.74,213523.53,223279.57,1968996.94
Total expenditure on residential and nursing care,2014 - 2015,Adults aged 65 and over,Net total expenditure,31018.26,18778,15733,19993.6,7779.87,12041,23735,7522,9979,12352,14196,47990,6667,6801,17982,16910,24119,26940,10211.99,21102,42124,15592,21467,23390.35,8609,10516.18,37583,11064,12476,6978,21128,11389,10371,9167,16353.95,10199,11016.89,14317,9109,26365.3,25173,9080,22378.93,4035.38,11276,67734.61,15662,9626,24516,16029.86,25964,56664.1,8903.17,12367.71,13345,8037.13,11636,18402,43039,26004,14986,31665,18106.47,9953,45041,34976,43005,12279,27089,19839.8,1579,56702.16,18794,60999,47728.38,43450,51668.05,7513,27781,13614,6243,9771.53,9993,6447,6550,10333.22,81246,9855.66,2767,27972,5261.83,9490,14167,14812.47,10122.19,5977,6435,11949,10938,11289.07,13952.27,11069,7217.79,13415,15852,424,7201,17210.22,12389,8897,12193,17887.54,12971.92,22486,14889.1,7087,10505,8827.88,10217.18,7619,7508.6,5275.7,10771,9138,7343,10071,12335.51,66457.63,48078,35877,14473,8158.53,89997,11874,14854,44256,16077,43205,11550,88922,10956.55,25185,36899,35197,245,15533,30070,15600.56,18557,64847,13768,8328.81,395400.17,196766.47,294411.52,299072.59,259304.96,318667.93,537990.44,353940.93,377493.9,3033048.9
