,,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Support type,Age category,Primary support reason,Service delivery mechanism,Unit cost category,Unit cost provision,102 - Cumbria,104 - Northumberland,106 - Gateshead,107 - Newcastle upon Tyne,108 - North Tyneside,109 - South Tyneside,110 - Sunderland,111 - Hartlepool,112 - Middlesbrough,113 - Redcar and Cleveland,114 - Stockton on Tees,116 - Durham,117 - Darlington,204 - Barnsley,205 - Doncaster,206 - Rotherham,207 - Sheffield,209 - Bradford,210 - Calderdale,211 - Kirklees,212 - Leeds,213 - Wakefield,214 - East Riding of Yorkshire,215 - Kingston upon Hull,216 - North East Lincolnshire,217 - North Lincolnshire,218 - North Yorkshire,219 - York,304 - Bolton,305 - Bury,306 - Manchester,307 - Oldham,308 - Rochdale,309 - Salford,310 - Stockport,311 - Tameside,312 - Trafford,313 - Wigan,315 - Knowsley,316 - Liverpool,317 - Sefton,318 - St Helens,319 - Wirral,321 - Halton,322 - Warrington,323 - Lancashire,324 - Blackburn with Darwen,325 - Blackpool,326 - Cheshire East,327 - Cheshire West and Chester,404 - Warwickshire,406 - Birmingham,407 - Coventry,408 - Dudley,409 - Sandwell,410 - Solihull,411 - Walsall,412 - Wolverhampton,413 - Staffordshire,414 - Stoke on Trent,415 - Herefordshire,416 - Worcestershire,417 - Shropshire,418 - Telford and the Wrekin,503 - Lincolnshire,504 - Northamptonshire,506 - Derbyshire,507 - Derby,508 - Leicestershire,509 - Leicester,510 - Rutland,511 - Nottinghamshire,512 - Nottingham,606 - Hertfordshire,607 - Norfolk,608 - Oxfordshire,609 - Suffolk,611 - Luton,612 - Buckinghamshire,613 - Milton Keynes,614 - Bracknell Forest,615 - West Berkshire,616 - Reading,617 - Slough,618 - Windsor and Maidenhead,619 - Wokingham,620 - Essex,621 - Southend on Sea,622 - Thurrock,623 - Cambridgeshire,624 - Peterborough,625 - Bedford Borough,626 - Central Bedfordshire,702 - Camden,703 - Greenwich,704 - Hackney,705 - Hammersmith and Fulham,706 - Islington,707 - Kensington and Chelsea,708 - Lambeth,709 - Lewisham,710 - Southwark,711 - Tower Hamlets,712 - Wandsworth,713 - Westminster,714 - City of London,716 - Barking and Dagenham,717 - Barnet,718 - Bexley,719 - Brent,720 - Bromley,721 - Croydon,722 - Ealing,723 - Enfield,724 - Haringey,725 - Harrow,726 - Havering,727 - Hillingdon,728 - Hounslow,729 - Kingston upon Thames,730 - Merton,731 - Newham,732 - Redbridge,733 - Richmond upon Thames,734 - Sutton,735 - Waltham Forest,803 - Isle of Wight Council,805 - Surrey,807 - West Sussex,809 - Dorset,810 - Bournemouth,811 - Poole,812 - Hampshire,813 - Portsmouth,814 - Southampton,815 - East Sussex,816 - Brighton and Hove,817 - Wiltshire,819 - Swindon,820 - Kent,821 - Medway,902 - Cornwall,904 - Gloucestershire,905 - Somerset,906 - Isles of Scilly,908 - Bath and North East Somerset,909 - Bristol,910 - North Somerset,911 - South Gloucestershire,912 - Devon,913 - Plymouth,914 - Torbay,North West,North East,Yorkshire and Humber,West Midlands,East Midlands,East,South East,London,South West,England
Long term,Age 18 and over,,Residential and nursing care,Numerator,All,83907.13,52905,33378,30268.5,18631.63,30830,48116,15915,28280,26636,25395,88027.59,17110,24884,44537,41423,64818,67157,23613.4,52889,85330,38909,68698,49262.35,18688,18063.18,73321,25613,19092,18593,47202,20111,24840,23590,31960,24303,23541.97,31013,20554,54230.4,38326,22836,47357.51,12662.1,29745,135621.69,22598,20177,38947.13,39395.33,59425,158217.29,33243.26,42263.13,39748,29749.85,22698,37800,107688,46720,38089,75940,50697.41,25595,92654,81737,117681,34698,72264,41713.2,5005,119579.48,50172,156166,152666.9,95438,100136.02,18667,70677,24066,11773,20075.76,24025.75,21955,20471,22690.87,231896,24182.89,21549,68981,17009.79,23183,32574,31654.25,43577.73,23918.1,25805.61,30287,19767,30980.93,38330.62,38540.99,26859.65,43674,27069,1014,15917.53,47503.73,31250,36313,36793,53999.95,52618.06,40064,39286.11,25103,30642,35608.82,24171.83,23696.75,24942,21642.48,32395,32637,20446,30574,29045,177252.6,123234,62968,27925,16584.96,192677,23354,31896,102322,50307,93696,33132,193397,38506.55,67339.43,98322,102359,439,39834,73237,36504.09,45654,121393,30741,20907.04,830603.26,415492.72,697205.93,767873.94,615503.68,847011.6,1273163.54,1037083.11,871035.53,7354973.3
Long term,Age 18 and over,,Residential and nursing care,Denominator,All,138806.14,88402,56133.08,58028,33164.07,46769.42,66412,31157,48420,51541,49736.99,161677.66,32970,53251,83498.71,70806,104429,130381,39266.35,86772.57,154767,70704,153785.43,80098,36315,38481.31,112662,39994,42704,40942,90481,44349,45602.92,50904,53252,42494,39671,65042.3,39503.12,119798,90237.29,40541,83464,31076.95,46254.87,268904.9,33204,48735.71,70366.1,71291.57,83982.71,230897.14,50386,66719.29,65884,36429.66,42930,60960,174630.99,76564.3,46615,111248,72060,38869.88,171026,124724,182012,59556.75,119802,63089.14,7226,183637.15,73461.71,219952,229002,118270,143520,31109,83571.93,32079.69,14772.98,23770,28391,28903.22,24182,23203,291456.43,38511.86,24563,90723,27884.37,34526,45867,35282.68,41613,31398,31844.14,39750.06,20421,44068.36,44266,37998.26,35046.57,49505,35488,1335,24646,58473.57,43931,47140.14,35368,64247.43,51843,52863,47283,32750,41787,40902.69,28367.84,20545.99,29979,32220,44791,32556.13,24401,30805,49177.86,208699.04,181196.9,88638,44230.57,24872,257508.2,36081,45925,143599.36,67091.44,100883,40655.57,305791,48867.15,108755.11,127223,138771.12,798,43238,90717.5,52755.59,53594.67,176493.6,53121.73,41572.82,1597625.86,724411.22,1255211.37,1158176.97,984534.75,1177114.66,1721080.77,1232916.87,1186320.28,11037392.75
Long term,Age 18 and over,,Residential and nursing care,Unit costs,All,604.49,598.46,594.62,521.62,561.8,659.19,724.51,510.8,584.06,516.79,510.59,544.46,518.96,467.3,533.39,585.02,620.69,515.08,601.36,609.51,551.34,550.31,446.71,615.03,514.61,469.4,650.81,640.42,447.08,454.13,521.68,453.47,544.7,463.42,600.17,571.92,593.43,476.81,520.31,452.68,424.72,563.28,567.4,407.44,643.07,504.35,680.58,414.01,553.49,552.59,707.59,685.23,659.77,633.45,603.3,816.64,528.72,620.08,616.66,610.21,817.1,682.62,703.54,658.48,541.75,655.34,646.56,582.6,603.2,661.18,692.64,651.17,682.97,710,666.66,806.95,697.71,600.05,845.7,750.19,796.93,844.58,846.25,759.6,846.54,977.93,795.65,627.93,877.3,760.35,610.01,671.46,710.18,897.16,1047.21,761.77,810.37,761.94,967.97,703.02,865.92,1014.28,766.4,882.21,762.76,759.55,645.85,812.4,711.34,770.32,1040.29,840.5,1014.95,757.88,830.87,766.5,733.29,870.57,852.09,1153.35,831.98,671.71,723.25,1002.48,837.92,992.5,590.61,849.32,680.11,710.4,631.35,666.81,748.24,647.27,694.52,712.55,749.83,928.76,814.94,632.45,787.98,619.18,772.83,737.61,550.13,921.27,807.31,691.95,851.84,687.8,578.69,502.9,519.9,573.56,555.45,663,625.17,719.57,739.75,841.16,734.23,666.37
Long term,Age 18 and over,,Residential and nursing care,Numerator,LA supported only,74506.84,49591,33140,27198.2,12860.83,22950,42047,14146,22681,26506,24180,84125.26,16832,19501,41414,40156,60450,62342,21450.8,48224,80227,34130,52591,44205.63,18688,17294.07,66505,23653,18520,17888,46452,19717,23837,23023,29885,22927,22603.24,28429,20554,49359.1,38326,20708,47357.51,12153.28,27824,131117.7,21864,20134,37946.23,37170.66,57845,129276.45,25201,41772.46,36315,28297.31,22675,37650,102886,45220,37314,71090,41877.28,23546,86463.38,78401,108531,34499,63137,38713.2,4179,108888.78,43948,149193,139426.4,84689,88492.23,18667,66323,24066,11129,19743.06,23604.75,17840,20126,21177.48,231781,22236.62,18845,62301.96,15517.99,22847,30335,31654.25,30956.51,19459.1,19274.37,25777,16146,25944.75,37267.87,38485.3,24772.73,36911,24340,1014,15417.53,44457.79,30374,30318,35023,50990.26,37270.75,38484,35714.56,21742,30334,33154.55,24082.56,20295.75,22060,17543.4,32038,31702,19604,29787,28035.82,173648.55,109712,56267,27791,15501.88,185049,22841,28412,92041.5,45206,93696,32278,188744,32498.55,62894.75,91698,81318,439,32956,69642,35116.64,44506,112196,29523,20736.3,792302.57,376257.29,630831.5,700965.51,566760.36,799643.2,1194886.73,932396.02,806559.57,6800602.75
Long term,Age 18 and over,,Residential and nursing care,Denominator,LA supported only,138806.14,88402,56133.08,58028,33164.07,46769.42,66412,31157,48420,51541,49736.99,161677.66,32970,53251,83498.71,70806,104429,130381,39266.35,86772.57,154767,70704,153785.43,80098,36315,38481.31,112662,39994,42704,40942,90481,44349,45602.92,50904,53252,42494,39671,65042.3,39503.12,119798,90237.29,40541,83464,31076.95,46254.87,268904.9,33204,48735.71,70366.1,71291.57,83982.71,230897.14,50386,66719.29,65884,36429.66,42930,60960,174630.99,76564.3,46615,111248,72060,38869.88,171026,124724,182012,59556.75,119802,63089.14,7226,183637.15,73461.71,219952,229002,118270,143520,31109,83571.93,32079.69,14772.98,23770,28391,28903.22,24182,23203,291456.43,38511.86,24563,90723,27884.37,34526,45867,35282.68,41613,31398,31844.14,39750.06,20421,44068.36,44266,37998.26,35046.57,49505,35488,1335,24646,58473.57,43931,47140.14,35368,64247.43,51843,52863,47283,32750,41787,40902.69,28367.84,20545.99,29979,32220,44791,32556.13,24401,30805,49177.86,208699.04,181196.9,88638,44230.57,24872,257508.2,36081,45925,143599.36,67091.44,100883,40655.57,305791,48867.15,108755.11,127223,138771.12,798,43238,90717.5,52755.59,53594.67,176493.6,53121.73,41572.82,1597625.86,724411.22,1255211.37,1158176.97,984534.75,1177114.66,1721080.77,1232916.87,1186320.28,11037392.75
Long term,Age 18 and over,,Residential and nursing care,Unit costs,LA supported only,536.77,560.97,590.38,468.71,387.79,490.71,633.12,454.02,468.42,514.27,486.16,520.33,510.52,366.21,495.98,567.13,578.86,478.15,546.29,555.75,518.37,482.72,341.98,551.89,514.61,449.41,590.31,591.41,433.68,436.91,513.39,444.59,522.71,452.28,561.2,539.53,569.77,437.08,520.31,412.02,424.72,510.79,567.4,391.07,601.54,487.6,658.47,413.13,539.27,521.39,688.77,559.89,500.16,626.09,551.2,776.77,528.19,617.62,589.16,590.61,800.47,639.02,581.14,605.76,505.56,628.6,596.28,579.26,527.01,613.63,578.33,592.96,598.24,678.3,608.84,716.06,616.58,600.05,793.6,750.19,753.33,830.59,831.42,617.23,832.27,912.7,795.25,577.4,767.21,686.73,556.51,661.73,661.37,897.16,743.91,619.76,605.27,648.48,790.66,588.74,841.91,1012.82,706.85,745.6,685.87,759.55,625.56,760.31,691.4,643.15,990.25,793.65,718.92,728,755.34,663.88,725.92,810.57,848.94,987.82,735.85,544.49,715.28,973.76,803.41,966.95,570.09,832.05,605.48,634.8,628.32,623.27,718.61,633.05,618.66,640.96,673.8,928.76,793.94,617.23,665.04,578.32,720.77,585.99,550.13,762.2,767.68,665.65,830.42,635.69,555.76,498.79,495.92,519.4,502.57,605.23,575.66,679.32,694.27,756.25,679.88,616.14
Long term,Age 18 to 64,Physical support,Residential and nursing care,Numerator,All,4753.9,1670,1623,1067.9,279.09,5206,1533,146,1121,1004,659,4741.49,567,608,1003,1386,2433,3340,767.75,2603,4888,1711,2893,2355.75,951,445.24,3377,1192,338,477,1784,888,1099,1138,2367,762,1044.84,1404,1010,3882.1,2795,1254,1513.67,235.29,888,5392.03,918,602,683.47,722.49,1808,7439.61,584.91,2451.39,1597,1362.99,716,1693,2735,4140,1338,3084,2173.74,1028,3509,5011,5263,2334,2581,1481,74,4778.57,1343,7885,6217.33,4024,4480.91,1014,6263,510,378,306.76,1163.41,536,759,555.44,9538,314.43,719,3488,1152.37,3484,955,2850.67,2965.01,1454.94,1442,1572,563,2476.02,2776.79,3962.95,1842.26,3574,592,50,574.28,2425.47,2773,2140,1561,3657.05,2644.56,2540,1127.21,1300,1121,2150.66,1816.19,1278.75,1323,1372.68,1594,1655,763,1179,822.28,8652.65,4508,8934,1143,594.3,7054,782,1404,5840,2302,2989,1023,11536,2805,2325.36,5141,4835,0,839,3788,1646.66,1512,4316,1150,450.74,35951.79,19617.48,29953.74,32151.64,26374.57,39248.05,60201.54,61117.49,40687.06,345303.36
Long term,Age 18 to 64,Physical support,Residential and nursing care,Denominator,All,7741.57,2340,2346.5,1799,610.43,7610.99,1332,306,1764,1464,1208.96,5102.07,741,948,2155.14,1798,3319,6765,1094.16,3847.29,5699,2763,4912.57,3992,1632,960.34,3729,1101,815,1234,2867,1836,1766.5,2036,2111,548,1125,1698.72,1554.28,7316,4823.43,1463,1752,308,749.86,8369.9,1560,1038.57,1230.9,1319.23,1305.51,8450.86,877,2699.31,1942,993.27,1282,1951,4425,7006.29,1664,3270,2351,1128,5768,4978,5071,3905.2,3410,1898.14,85,5777.72,1625.56,7293,8520,4105,3456,902,4753.27,799,525.72,381,1393,874.3,899,531,10193.57,586.43,514,2762,1468.2,3252,1304,2830.36,1878,1948,1850.29,1911.29,662,3593.57,2885,3603.12,1971.43,3063,611,52,905,2534.34,2169,3010,1535,3517.86,2205,2572,1411,1424,1309,2102.63,1813,773.86,1251,1941,1570,1297.28,829,1339,948.72,4835.07,5626.4,8187,1330.14,705,8588.5,952,1976.57,5343.18,2342.29,3721,1037.43,12896,2668.15,3554.43,5257,4102.14,0,1047,3282.46,1588.72,1560.59,5058.6,1581.86,477.48,55263.96,26624.95,44715.5,39345.23,32518.62,40251.2,60438.17,62368.02,42490.85,404016.5
Long term,Age 18 to 64,Physical support,Residential and nursing care,Unit costs,All,614.07,713.68,691.67,593.61,457.2,684.01,1150.9,477.12,635.49,685.79,545.1,929.33,765.18,641.35,465.4,770.86,733.05,493.72,701.68,676.58,857.69,619.25,588.9,590.12,582.72,463.63,905.6,1082.65,414.72,386.55,622.25,483.66,622.13,558.94,1121.27,1390.51,928.74,826.5,649.82,530.63,579.46,857.14,863.96,763.94,1184.22,644.22,588.46,579.64,555.26,547.66,1384.9,880.34,666.94,908.15,822.35,1372.23,558.5,867.76,618.08,590.9,804.09,943.12,924.6,911.35,608.36,1006.63,1037.86,597.66,756.89,780.24,870.59,827.07,826.18,1081.17,729.73,980.27,1296.56,1124.17,1317.62,638.3,719.01,805.13,835.18,613.06,844.27,1046.02,935.69,536.17,1398.83,1262.85,784.89,1071.34,732.36,1007.17,1578.81,746.89,779.34,822.48,850.45,689.01,962.49,1099.87,934.48,1166.83,968.9,961.54,634.56,957.04,1278.47,710.96,1016.94,1039.57,1199.35,987.56,798.87,912.92,856.38,1022.84,1001.76,1652.44,1057.55,707.2,1015.29,1275.75,920.39,880.51,866.72,1789.56,801.22,1091.24,859.31,842.98,821.33,821.43,710.32,1092.98,982.8,803.28,986.09,894.54,1051.29,654.22,977.93,1178.65,.,801.34,1154.01,1036.47,968.86,853.2,726.99,944.01,650.55,736.81,669.87,817.17,811.06,975.08,996.08,979.95,957.55,854.68
