,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Support type,Age category,Summary,Delivery mechanism,Accounting category,102 - Cumbria,104 - Northumberland,106 - Gateshead,107 - Newcastle upon Tyne,108 - North Tyneside,109 - South Tyneside,110 - Sunderland,111 - Hartlepool,112 - Middlesbrough,113 - Redcar and Cleveland,114 - Stockton on Tees,116 - Durham,117 - Darlington,204 - Barnsley,205 - Doncaster,206 - Rotherham,207 - Sheffield,209 - Bradford,210 - Calderdale,211 - Kirklees,212 - Leeds,213 - Wakefield,214 - East Riding of Yorkshire,215 - Kingston upon Hull,216 - North East Lincolnshire,217 - North Lincolnshire,218 - North Yorkshire,219 - York,304 - Bolton,305 - Bury,306 - Manchester,307 - Oldham,308 - Rochdale,309 - Salford,310 - Stockport,311 - Tameside,312 - Trafford,313 - Wigan,315 - Knowsley,316 - Liverpool,317 - Sefton,318 - St Helens,319 - Wirral,321 - Halton,322 - Warrington,323 - Lancashire,324 - Blackburn with Darwen,325 - Blackpool,326 - Cheshire East,327 - Cheshire West and Chester,404 - Warwickshire,406 - Birmingham,407 - Coventry,408 - Dudley,409 - Sandwell,410 - Solihull,411 - Walsall,412 - Wolverhampton,413 - Staffordshire,414 - Stoke on Trent,415 - Herefordshire,416 - Worcestershire,417 - Shropshire,418 - Telford and the Wrekin,503 - Lincolnshire,504 - Northamptonshire,506 - Derbyshire,507 - Derby,508 - Leicestershire,509 - Leicester,510 - Rutland,511 - Nottinghamshire,512 - Nottingham,606 - Hertfordshire,607 - Norfolk,608 - Oxfordshire,609 - Suffolk,611 - Luton,612 - Buckinghamshire,613 - Milton Keynes,614 - Bracknell Forest,615 - West Berkshire,616 - Reading,617 - Slough,618 - Windsor and Maidenhead,619 - Wokingham,620 - Essex,621 - Southend on Sea,622 - Thurrock,623 - Cambridgeshire,624 - Peterborough,625 - Bedford Borough,626 - Central Bedfordshire,702 - Camden,703 - Greenwich,704 - Hackney,705 - Hammersmith and Fulham,706 - Islington,707 - Kensington and Chelsea,708 - Lambeth,709 - Lewisham,710 - Southwark,711 - Tower Hamlets,712 - Wandsworth,713 - Westminster,714 - City of London,716 - Barking and Dagenham,717 - Barnet,718 - Bexley,719 - Brent,720 - Bromley,721 - Croydon,722 - Ealing,723 - Enfield,724 - Haringey,725 - Harrow,726 - Havering,727 - Hillingdon,728 - Hounslow,729 - Kingston upon Thames,730 - Merton,731 - Newham,732 - Redbridge,733 - Richmond upon Thames,734 - Sutton,735 - Waltham Forest,803 - Isle of Wight Council,805 - Surrey,807 - West Sussex,809 - Dorset,810 - Bournemouth,811 - Poole,812 - Hampshire,813 - Portsmouth,814 - Southampton,815 - East Sussex,816 - Brighton and Hove,817 - Wiltshire,819 - Swindon,820 - Kent,821 - Medway,902 - Cornwall,904 - Gloucestershire,905 - Somerset,906 - Isles of Scilly,908 - Bath and North East Somerset,909 - Bristol,910 - North Somerset,911 - South Gloucestershire,912 - Devon,913 - Plymouth,914 - Torbay
Long term,Age 18 to 64,Physical support,Nursing,Gross total cost: provision by others,1284.73,596,421,667.2,47.8,1558,864,45,275,228,239,2083.51,287,131,346,560,1290,1391,547.06,1087,2062,384,1361,514.51,58,116,1304,651,149,129,580,229,332,545,669,434,369.6,465,337,990.9,977,500,543.49,31.68,398,1750.79,253,216,479.43,283.32,409,3698.54,213.85,1178.78,1134,401.02,351,883,1120,1240,375,1138,998.99,549,1659,1483,1531,1541,365,371,0,2318.34,301,3675,1965.15,2385,2144.57,469,1448,429,308,145.74,566.66,165,330,126.74,1900,0,0,1190,655.08,296,564,1037.5,799.12,310.98,849,534,371,982.55,1239.41,1417.51,662.55,660,395,50,352.63,965.37,1788,1433,490,1088.31,1345.63,551,515.95,317,382,1025.51,939.42,428.75,757,456.18,748,437,436,201,275.73,2774,1309,578,179,159.58,3073,20,480,1594,841,1125,152,2771,685,1196.09,1578,2054,0,254,1549,631.58,1077,1085,306,175.46
Long term,Age 18 to 64,Physical support,Nursing,Gross total cost: grants to voluntary org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Gross total cost: total expenditure,1284.73,596,421,667.2,47.8,1558,864,45,275,228,239,2083.51,287,131,346,560,1308,1391,548.29,1087,2062,384,1361,514.51,58,116,1304,651,149,129,580,229,332,545,669,434,369.6,465,337,990.9,977,500,543.49,31.68,398,1750.79,253,216,479.43,283.32,409,3698.54,213.85,1178.78,1134,401.02,351,883,1120,1240,375,1145,998.99,549,1659,1483,1531,1541,365,371,0,2318.34,301,3675,1965.15,2385,2144.57,469,1448,429,308,145.74,566.66,165,330,126.74,1900,0,0,1190,655.08,296,564,1037.5,799.12,310.98,849,534,371,982.55,1239.41,1417.51,662.55,660,395,50,352.63,965.37,1788,1433,490,1088.31,1345.63,551,515.95,317,382,1025.51,939.42,428.75,757,456.18,748,437,436,201,275.73,2774,1309,578,179,159.58,3073,20,480,1594,841,1125,152,2771,685,1196.09,1578,2054,0,254,1549,631.58,1077,1085,306,175.46
Long term,Age 18 to 64,Physical support,Nursing,Income: client contributions,500.33,74,51,85,11.94,19,114,15,58,43,53,621.32,31,26,200,0,95,368,126.33,218,138,82,137,52.25,7,20,208,56,56,27,88,66,176,109,60,48,51.68,50,47,607.5,252,118,159.13,18.16,61,516.77,50,55,94.46,105,4,548.14,29.46,59.1,144,0,47,186,141,70,88,169,261.18,65,264,470,276,1,80,100,0,446.83,64,327,299.86,577,350.16,93,123,173,32,41.56,195,15,3,21.71,225,0,0,93,58.34,23,97,109.1,83.71,50,253,72,125,146.14,220.25,138.33,42.75,89,124,0,31.83,80.75,75,138,87,117.76,204.19,99,65.33,41,93,150.65,33.2,110,56,63.31,227,163,53,20,34.82,400.71,204,80,59,19.14,1179,5,49,548,117,117,23,423,124,150.95,280,258,0,94,197,154.39,185,159,115,25.64
Long term,Age 18 to 64,Physical support,Nursing,Income: joint arrangements,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Income: Income from NHS,0,0,0,67.7,0,457,164,2,154,0,17,0,0,0,0,0,58,158,11.65,150,0,0,427,132.72,0,0,64,103,0,0,0,0,0,19,186,0,170.85,63,0,0,0,0,0,0,85,8.9,0,0,0,6.26,0,605.96,0,0,0,0,0,0,0,211,3,120,321.46,377,18,5,112,0,19,0,0,0,34,0,0,0,149.07,0,0,0,22,0.01,94,0,3,8.13,86,0,0,0,54.92,0,0,0,0,0,342,381,0,124.93,56.71,0,19.35,525,0,0,0,144.1,0,46,51,0,0,23,-2.75,100,0,0,0,75,142,0,0,0,0,0,5.53,14.19,0,0,0,11.05,304,0,305,15,122,0,88,0,98,36.89,3,190,0,144,124,32.87,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Income: other income,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,1.23,0,109.91,0,0,0,0,0,0,0,0,0,0,9.08,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,-0.05,0,0,0,69,0,0,0,0,0,0,59,17,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.46,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Income: total,500.33,107,51,152.7,11.94,479,282,17,212,43,70,621.32,31,26,200,0,153,526,137.98,368,140,82,564,184.97,7,22,272,159,56,27,88,66,176,128,246,48,222.53,113,47,607.5,252,118,159.13,18.16,146,531.01,50,55,94.46,112.49,4,1264.02,29.46,59.1,144,0,47,186,141,281,91,289,591.72,464,282,475,388,1,99,100,0,446.83,98,327,308.46,577,499.22,93,123,173,54,41.57,289,57,6,29.8,311,0,0,162,113.26,23,97,109.1,83.71,50,764,470,125,271.07,276.95,138.33,97.1,614,124,0,31.83,224.85,75,195,138,117.76,204.19,123,62.58,141,93,150.65,33.2,253,198,63.31,227,199,53,20,40.36,429.51,204,80,59,30.19,1483,5,354,563,239,117,111,423,222,239.29,283,448,0,238,321,187.26,185,159,115,25.64
Long term,Age 18 to 64,Physical support,Nursing,Net total expenditure,784.4,489,370,514.5,35.87,1079,582,28,63,185,169,1462.19,256,105,146,560,1155,865,410.31,719,1922,302,797,329.54,51,94,1032,492,93,102,492,163,156,417,423,386,147.07,352,290,383.4,725,382,384.36,13.51,252,1219.78,203,161,384.97,170.83,405,2434.51,184.39,1119.68,990,401.02,304,697,979,959,284,856,407.28,85,1377,1008,1143,1540,266,271,0,1871.52,203,3348,1656.69,1808,1645.35,376,1325,256,254,104.17,277.66,108,324,96.95,1589,0,0,1028,541.82,273,467,928.4,715.41,260.98,85,64,246,711.48,962.46,1279.18,565.45,46,271,50,320.8,740.52,1713,1238,352,970.55,1141.44,428,453.37,176,289,874.86,906.22,175.75,559,392.87,521,238,383,181,235.38,2344.49,1105,498,120,129.4,1590,15,126,1031,602,1008,41,2348,463,956.8,1295,1606,0,16,1228,444.32,892,926,191,149.82
