"...1","PSS EX1 Return for 2007-08 Version 11","...3","...4","...5","...6","...7"
NA,"Data item description","Data item data","Enter Y if column C is based on average number of supported residents","Enter A if column C is an adjusted version of the source figure","Where used",NA
NA,NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)"
NA,"Services for adults and older people","rows 8-133",NA,NA,NA,NA
NA,"Services for children","rows 135-164",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"Services for adults and older people",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"KS1 (Data entry sheet)",NA,NA,NA,NA,NA
NA,"Supported residents",NA,NA,NA,NA,NA
NA,"Number of weeks* spent in residential and nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 28a",NA,NA,NA,NA,NA
NA,"- row 18 (residents aged 65 and over)","624038.76000000001",NA,NA,"1.1, 1.1A, 1.2, 1.2A","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- row 20 (learning disability)","180559.85999999999",NA,NA,"1.1, 1.1A, 1.7, 1.7A","B12"
NA,"- row 21 (mental health problems)","64041.860000000001",NA,NA,"1.1, 1.1A, 1.12, 1.12A","B12"
NA,"- row 22 (physical disability)","42050.419999999998",NA,NA,"1.1, 1.1A, 1.17, 1.17A","B12"
NA,NA,NA,NA,NA,NA,NA
NA,"Full cost paying residents*",NA,NA,NA,NA,NA
NA,"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","5073",NA,NA,"1.1, 1.1A, 1.2, 1.2A, 1.4, 1.5","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","1459",NA,NA,"1.1, 1.1A, 1.7, 1.7A, 1.9, 1.10","B12"
NA,"- mental health problems","0",NA,NA,"1.1, 1.1A, 1.12, 1.12A, 1.14, 1.15","B12"
NA,"- physical disabilities","0",NA,NA,"1.1, 1.1A, 1.17, 1.17A, 1.19, 1.20","B12"
NA,"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","23775",NA,NA,"1.1, 1.1A, 1.2, 1.2A, 1.4, 1.6","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","8517",NA,NA,"1.1, 1.1A, 1.7, 1.7A, 1.9, 1.11","B12"
NA,"- mental health problems","6985",NA,NA,"1.1, 1.1A, 1.12, 1.12A, 1.14, 1.16","B12"
NA,"- physical disabilities","2133",NA,NA,"1.1, 1.1A, 1.17, 1.17A, 1.19, 1.21","B12"
NA,"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","17240",NA,NA,"1.1, 1.1A, 1.2, 1.2A, 1.3","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","0",NA,NA,"1.1, 1.1A. 1.7, 1.7A, 1.8","B12"
NA,"- mental health problems","0",NA,NA,"1.1, 1.1A, 1.12, 1.12A, 1.13","B12"
NA,"- physical disabilities","2326",NA,NA,"1.1, 1.1A, 1.17, 1.17A, 1.18","B12"
NA,NA,NA,NA,NA,NA,NA
NA,"Residents wholly funded under Section 28(a)*",NA,NA,NA,NA,NA
NA,"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","9036",NA,NA,"1.1, 1.2, 1.4, 1.5","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","478",NA,NA,"1.1, 1.7, 1.9, 1.10","B12"
NA,"- mental health problems","0",NA,NA,"1.1, 1.12, 1.14, 1.15","B12"
NA,"- physical disabilities","1872",NA,NA,"1.1, 1.17, 1.19, 1.20","B12"
NA,"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","5136",NA,NA,"1.1, 1.2, 1.4, 1.6","B12"
