"PSS EX1 Return for 2000-2001 Ealing","...2","...3","...4","...5","...6","...7","...8"
NA,"Data item data","Enter Y if column B is based on average number of supported residents","Enter A if column B is an adjusted version of the source figure","Where used",NA,NA,"CIPFA 1999-2000 Actuals Activity cell"
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)","BVPI(s)",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children, adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)",NA,NA,NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary) by",NA,NA,NA,NA,NA,NA,NA
"- row 57 (residents aged 65 and over)","45501",NA,NA,"2.1, 2.2","B12, B13","52",NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- row 59 (learning disability)","8566",NA,NA,"2.1, 2.7","B12, B14","52",NA
"- row 60 (mental health problems)","3595",NA,NA,"2.1, 2.12","B12, B15","52",NA
"- row 61 (physical disability)","1942",NA,NA,"2.1, 2.17","B12, B16","52",NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"SSDA903 but on a 100% count basis",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements",NA,NA,NA,NA,NA,NA,NA
"- F1 to F6","84474",NA,NA,"1.1, 1.3","B8, B10","51","61, 65"
"- H3 to H5","31810",NA,NA,"1.1, 1.2","B8, B9","51","59, 63"
"- S1","6298",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in secure accommodation","390",NA,NA,"1.6000000000000001",NA,NA,"60, 64"
"Children and their families - number of referrals during year","6127",NA,NA,NA,NA,NA,"115"
"Children and their families - number of assessments during year","850",NA,NA,NA,NA,NA,"116"
"Children and their families - number of reviews during year","146",NA,NA,NA,NA,NA,"117"
"Count of total number of days that CLA spent in foster placements",NA,NA,NA,NA,NA,NA,NA
"Own provision (codes F1, F2, F4, F5)","40309",NA,NA,"1.3999999999999999",NA,NA,"61"
"Provision by others (codes F3, F6)","44165",NA,NA,"1.5",NA,NA,"65"
"Number of nights children looked after spent in short term placements under Reg 13 of the Arrangement for Placement of Children Regulations 19991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA,NA,NA
"- Foster placements","3055",NA,NA,"1.1 (adj), 1.3 (adj)",NA,NA,"58"
"- Children's homes","8916",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,"57"
NA,NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","3380",NA,NA,"2.22, 2.23","B17",NA,"20"
"Table 1 line 4 column B (Total hours, Independent sector)","11174",NA,NA,"2.22, 2.24","B17",NA,"22"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","509",NA,NA,"2.1000000000000001","B12","52",NA
"RAP",NA,NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","8603",NA,NA,NA,NA,NA,"158,196,234,272,302"
"Clients with completed assessments",NA,NA,NA,NA,NA,NA,NA
