"PSS EX1 Return for 2003-04","...2","...3","...4","...5","...6","...7"
"Data item description","Data item data","Enter Y if column C is based on average number of supported residents","Enter A if column C is an adjusted version of the source figure","Where used",NA,NA
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)","BVPI(s)"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)","North Tyneside",NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary)",NA,NA,NA,NA,NA,NA
"- row 18 (residents aged 65 and over)","61442",NA,NA,"2.1, 2.1A, 2.2, 2.2A","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- row 20 (learning disability)","3224",NA,NA,"2.1, 2.1A, 2.7, 2.7A","B12, B14","52"
"- row 21 (mental health problems)","1935",NA,NA,"2.1, 2.1A, 2.12, 2.12A","B12, B15","52"
"- row 22 (physical disability)","2176",NA,NA,"2.1, 2.1A, 2.17, 2.17A","B12, B16","52"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"SSDA903 on a 100% count basis",NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V1) and Unaccompanied Asylum Seeking Children)",NA,NA,NA,NA,NA,NA
"- A1 (placed for adoption) - own provision","6104",NA,NA,"1.1, 1.3, 1.4","B8, B10","51"
"- A1 (placed for adoption) - provision by others","9",NA,NA,"1.1, 1.3, 1.5","B8, B10","51"
"- F1, F2, F4, F5 (own provision foster placements)","59872",NA,NA,"1.1, 1.3, 1.4","B8, B10","51"
"- F3, F6 (foster placements provided by others)","4285",NA,NA,"1.1, 1.3, 1.5","B8, B10","51"
"- H3 to H5 (homes, hostels etc) - own provision","6436",NA,NA,"1.1, 1.2, 1.2A","B8, B9","51"
"- H3 to H5 (homes, hostels etc) - provision by others","5096",NA,NA,"1.1, 1.2, 1.2B","B8, B9","51"
"- S1 (residential schools) - own provision","0",NA,NA,"1.1, 1.2, 1.2A","B8, B9","51"
"- S1 (residential schools) - provision by others","0",NA,NA,"1.1, 1.2, 1.2B","B8, B9","51"
NA,NA,NA,NA,NA,NA,NA
"- H1, H2 (secure accommodation (welfare))","36",NA,NA,"1.6000000000000001",NA,NA
"CPR3",NA,NA,NA,NA,NA,NA
"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","1702",NA,NA,NA,NA,NA
"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other initial assessments completed in the year"")","951",NA,NA,NA,NA,NA
