"PSS EX1 Return for 2002-03","...2","...3","...4","...5","...6","...7"
"Data item description","Data item data","Enter Y if column C is based on average number of supported residents","Enter A if column C is an adjusted version of the source figure","Where used",NA,NA
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)","BVPI(s)"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Services for children, adults and older people",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)",NA,NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary) by residents other than former Preserved Rights residents",NA,NA,NA,NA,NA,NA
"- row 64 (residents aged 65 and over)","10693482.837142857",NA,NA,"2.1, 2.2","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- row 66 (learning disability)","1499505.2585765291",NA,NA,"2.1, 2.7","B12, B14","52"
"- row 67 (mental health problems)","613071.45859931235",NA,NA,"2.1, 2.12","B12, B15","52"
"- row 68 (physical disability)","499341.40282415866",NA,NA,"2.1, 2.17","B12, B16","52"
"Number of weeks* spent in residential and nursing care (both permanent and temporary) by former Preserved Rights residents",NA,NA,NA,NA,NA,NA
"- row 71 (residents aged 65 and over)","889905.43142857135",NA,NA,"2.1, 2.2","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- row 73 (learning disability)","611417.85983957897",NA,NA,"2.1, 2.7","B12, B14","52"
"- row 74 (mental health problems)","136277.47388189717",NA,NA,"2.1, 2.12","B12, B15","52"
"- row 75 (physical disability)","116613.66627852386",NA,NA,"2.1, 2.17","B12, B16","52"
NA,NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"SSDA903 but on a 100% count basis",NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V1))",NA,NA,NA,NA,NA,NA
"- A1 (placed for adoption) - own provision","1115076",NA,NA,"1.1 (adj), 1.3 (adj), 1.4 (adj)","B8, B10","51"
"- A1 (placed for adoption) - provision by others","209356",NA,NA,"1.1 (adj), 1.3 (adj), 1.5 (adj)","B8, B10","51"
"- F1 to F6 (foster placements)","14134888",NA,NA,"1.1, 1.3","B8, B10","51"
"- H3 to H5 (homes, hostels etc) - own provision","1115225.76",NA,NA,"1.1, 1.2, 1.2A","B8, B9","51"
"- H3 to H5 (homes, hostels, etc) - provision by others","1282949.24",NA,NA,"1.1, 1.2, 1.2B","B8, B9","51"
"- S1 (residential schools) - own provision","30384",NA,NA,"1.1 (adj), 1.2 (adj), 1.2A","B8, B9","51"
"- S1 (residential schools) - provision by others","369591",NA,NA,"1.1 (adj), 1.2 (adj), 1.2B","B8, B9","51"
"Other",NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in secure accommodation (welfare)","58029",NA,NA,"1.6000000000000001",NA,NA
"CPR3",NA,NA,NA,NA,NA,NA
