"PSS EX1 Return for 2006-07 Version 1a","...2","...3","...4","...5","...6"
"Data item description","Data item data","Enter Y if column C is based on average number of supported residents","Enter A if column C is an adjusted version of the source figure","Where used",NA
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)",NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary)",NA,NA,NA,NA,NA
"- row 18 (residents aged 65 and over)","1831312.55",NA,NA,"2.1, 2.1A, 2.2, 2.2A","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- row 20 (learning disability)","350976.61571428576",NA,NA,"2.1, 2.1A, 2.7, 2.7A","B12"
"- row 21 (mental health problems)","123763.45857142856",NA,NA,"2.1, 2.1A, 2.12, 2.12A","B12"
"- row 22 (physical disability)","91212.894285714268",NA,NA,"2.1, 2.1A, 2.17, 2.17A","B12"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"SSDA903 on a 100% count basis",NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V3 and V4) and Unaccompanied Asylum Seeking Children)",NA,NA,NA,NA,NA
"- A3, A4, A5, A6 (placed for adoption) - own provision","159827",NA,NA,"1.1, 1.3, 1.4","B8"
"- A3, A4, A5, A6 (placed for adoption) - provision by others","46969",NA,NA,"1.1, 1.3, 1.5","B8"
"- F1, F2, F4, F5 (own provision foster placements)","2359054",NA,NA,"1.1, 1.3, 1.4","B8"
"- F3, F6 (foster placements provided by others)","549995",NA,NA,"1.1, 1.3, 1.5","B8"
"- H3 to H5 (homes, hostels etc) - own provision","154133",NA,NA,"1.1, 1.2, 1.2A","B8"
"- H3 to H5 (homes, hostels etc) - provision by others","179439",NA,NA,"1.1, 1.2, 1.2B","B8"
"- S1 (residential schools) - own provision","637",NA,NA,"1.1, 1.2, 1.2A","B8"
"- S1 (residential schools) - provision by others","73464",NA,NA,"1.1, 1.2, 1.2B","B8"
NA,"0",NA,NA,NA,NA
"- H1, H2 (secure accommodation (welfare))","13254",NA,NA,"1.6000000000000001",NA
"CPR3",NA,NA,NA,NA,NA
"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","109991",NA,NA,NA,NA
"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other initial assessments completed in the year"")","52105",NA,NA,NA,NA
"Other",NA,NA,NA,NA,NA
"Children and their families - number of reviews during year","69968",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Number of nights children looked after (other than Unacommpanied Asylum Seeking Children) spent in short term placements (SSDA 903 legal status V3 and V4) under Reg 13 of the Arrangement for Placement of Children Regulations 1991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA
"- Own provision Foster placements (SSDA 903 placement codes F1, F2, F4, F5)","54488",NA,NA,"1.1, 1.3, 1.4","B8"
"- Provision by others Foster placements (SSDA 903 placement codes F3, F6)","6289",NA,NA,"1.1, 1.3, 1.5","B8"
"- Own provision Children's homes (SSDA 903 placement codes H3 to H5)","44051",NA,NA,"1.1, 1.2, 1.2A","B8"
"- Provision by others Children's homes (SSDA 903 placement codes H3 to H5)","12405",NA,NA,"1.1, 1.2, 1.2B","B8"
"Receiving direct payments at 31 March 2007",NA,NA,NA,NA,NA
"Disabled children (aged 16-17)","186",NA,NA,"1.8",NA
"Carers (eg parents) of disabled children","893",NA,NA,"1.8",NA
NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","116664",NA,NA,"2.22, 2.23","B17"
"Table 1 line 4 column B (Total hours, Independent sector)","428434",NA,NA,"2.22, 2.24","B17"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","15739",NA,NA,"2.1, 2.1A","B12"
"RAP",NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts of new clients passed on for further assessment or commissioning of service)","176560",NA,NA,NA,NA
"Clients with completed assessments",NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","17553",NA,NA,NA,NA
"Table A1 Page 1 line 9 col 1 (18-64 ld)","1288",NA,NA,NA,NA
"Table A1 Page 1 line 6 col 1 (18-64 mh)","13733",NA,NA,NA,NA
"Table A1 Page 1 line 10 col 1 (18-64 sm)","1484",NA,NA,NA,NA
"Table A1 Page 1 line 11 cols 2 + 3 (65+ col totals)","75735",NA,NA,NA,NA
"Table A1 Page 2 Box 1 (Overall total of existing clients with reviews)","212518",NA,NA,NA,NA
"Receiving services at 31 March 2007",NA,NA,NA,NA,NA
"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","6622",NA,NA,"2.29",NA
"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","2838",NA,NA,"2.4700000000000002",NA
"Table P2s Page 2 line 1 col 1 (18-64 pd direct payments)","3101",NA,NA,"2.3399999999999999",NA
"Table P2s Page 1 line 9 col 2 (18-64 ld home care)","3253",NA,NA,"2.27",NA
"Table P2s Page 1 line 9 col 3 (18-64 ld day care)","8677",NA,NA,"2.4500000000000002",NA
"Table P2s Page 2 line 9 col 1 (18-64 ld direct payments)","1204",NA,NA,"2.3199999999999998",NA
"Table P2s Page 1 line 6 col 2 (18-64 mh home care)","1875",NA,NA,"2.2799999999999998",NA
"Table P2s Page 1 line 6 col 3 (18-64 mh day care)","4119",NA,NA,"2.46",NA
"Table P2s Page 2 line 6 col 1 (18-64 mh direct payments)","299",NA,NA,"2.3300000000000001",NA
"Table P2s Page 2 line 11 col 1 (18-64 total direct payments)","4670",NA,NA,NA,NA
"Table P2s Pages 3 + 5 line 11 col 2 (65+ home care)","48208",NA,NA,"2.2599999999999998",NA
"Table P2s Pages 3 + 5 line 11 col 3 (65+ day care)","16026",NA,NA,"2.4399999999999999",NA
"Table P2s Pages 3 + 5 line 11 col 4 (65+ meals)","13467",NA,NA,"2.5600000000000001",NA
"Table P2s Pages 4 line 11 col 1 (65-74 direct payments)","697",NA,NA,"2.3100000000000001",NA
"Table P2s Page 7 box 1 (75-84 direct payments)","646",NA,NA,"2.3100000000000001",NA
"Table P2s Page 7 box 2 (85+ direct payments)","578",NA,NA,"2.3100000000000001",NA
"Table P2s Pages 1 + 3 + 5 line 11 col 2 (all ages home care)","60501",NA,NA,"2.25",NA
"Table P2s Pages 1 + 3 + 5 line 11 col 3 (all ages day care)","31936",NA,NA,"2.4300000000000002",NA
"Table P2s Pages 1 + 3 + 5 line 11 col 4 (all ages meals)","14514",NA,NA,"2.5499999999999998",NA
"Table P2s Pages 2 + 4 + 6 line 11 col 1 (all ages direct payments)","6591",NA,NA,"2.30",NA
"Other",NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","32344.076923076922",NA,NA,"2.52A, 2.53",NA
"Total meals provided by independent sector per week on average during year","33144",NA,NA,"2.52A, 2.54",NA
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","537644.71428571432",NA,NA,"2.2999999999999998",NA
"residents aged 65 and over in own provision residential placements","232443.85571428572",NA,NA,"2.4, 2.5",NA
"residents aged 65 and over in residential placements provided by others","1061223.98",NA,NA,"2.4, 2.6",NA
"pd residents aged 18-64 in nursing placements","37516.860000000001",NA,NA,"2.1800000000000002",NA
"pd residents aged 18-64 in own provision residential placements","3013.1514285714284",NA,NA,"2.19, 2.20",NA
"pd residents aged 18-64 in residential placements provided by others","50682.882857142838",NA,NA,"2.19, 2.21",NA
