"PSS EX1 Return for 2001-02","...2","...3","...4","...5","...6","...7","...8"
"Data item description","Data item data","Enter Y if column C is based on average number of supported residents","Enter A if column C is an adjusted version of the source figure","Where used",NA,NA,"CIPFA 1999-2000 Actuals Activity cell"
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)","BVPI(s)",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children, adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)",NA,NA,NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary) by",NA,NA,NA,NA,NA,NA,NA
"- row 58 (residents aged 65 and over)","448202.16000000003",NA,NA,"2.1, 2.2","B12, B13","52",NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- row 60 (learning disability)","121486",NA,NA,"2.1, 2.7","B12, B14","52",NA
"- row 61 (mental health problems)","89740.860000000001",NA,NA,"2.1, 2.12","B12, B15","52",NA
"- row 62 (physical disability)","32544",NA,NA,"2.1, 2.17","B12, B16","52",NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"SSDA903 but on a 100% count basis",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V1))",NA,NA,NA,NA,NA,NA,NA
"- A1","95042",NA,NA,"1.1 (adj), 1.3 (adj)",NA,NA,NA
"- F1 to F6","1212718",NA,NA,"1.1, 1.3","B8, B10","51","61, 65"
"- H3 to H5","292730",NA,NA,"1.1, 1.2","B8, B9","51","59, 63"
"- S1","36890",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in secure accommodation (welfare)","5015",NA,NA,"1.6000000000000001",NA,NA,"60, 64"
"CPR3",NA,NA,NA,NA,NA,NA,NA
"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","38210",NA,NA,NA,NA,NA,"115"
"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other"")","10323",NA,NA,NA,NA,NA,"116"
"Other",NA,NA,NA,NA,NA,NA,NA
"Children and their families - number of reviews during year","8442",NA,NA,NA,NA,NA,"117"
"Count of total number of days that CLA spent in foster placements",NA,NA,NA,NA,NA,NA,NA
"Own provision (codes F1, F2, F4, F5)","1141576",NA,NA,"1.3999999999999999",NA,NA,"61"
"Provision by others (codes F3, F6)","453272",NA,NA,"1.5",NA,NA,"65"
"Number of nights children looked after spent in short term placements (SSDA 903 legal status V1) under Reg 13 of the Arrangement for Placement of Children Regulations 1991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA,NA,NA
